--------- beginning of system
06-28 18:41:16.597  1114  1137 I ActivityManager: Process com.baidu.input_huawei (pid 7134) has died: fore SVC 
06-28 18:41:16.597  1114  1137 D ActivityManager: cleanUpApplicationRecord app: ProcessRecord{e5349a8 7134:com.baidu.input_huawei/u0a59}, app.bad: false, restarting: false, allowRestart: true
06-28 18:41:16.600  1869  7124 I BoosterSwitchP: notifyUidState do nothing
06-28 18:41:16.600  1869  7124 I DeepNoDisturbP: notifyUidState
06-28 18:41:16.600  1869  7124 I HidataAppQoeP: notifyUidState
06-28 18:41:16.600  1869  7124 I BrowserChrP: notifyUidState
06-28 18:41:16.846  1114  1273 W HwPackageManagerServiceEx: isEnterpriseDisallowUninstallApk disallowUninstallPkgList : null
06-28 18:41:16.846  1114  1273 D PackageManager: mFrozenPackages add package:com.mixgo.PropertySEO
06-28 18:41:16.846  1114  1222 I ActivityManager: Force stopping com.mixgo.PropertySEO appid=10404 user=-1: deletePackageX
06-28 18:41:16.849  1114  1222 I ActivityManager: Force stopping com.mixgo.PropertySEO appid=10404 user=-1: uninstall pkg
06-28 18:41:16.857  1114  1273 I PackageManager: Removing old permission tree: com.mixgo.PropertySEO.permission.JPUSH_MESSAGE from package com.mixgo.PropertySEO
06-28 18:41:16.895  1114  1273 D PackageManager: clear pref activity com.mixgo.PropertySEO from uid 1000
06-28 18:41:17.047  1114  1273 D PackageManager: mFrozenPackages remove package:com.mixgo.PropertySEO
06-28 18:41:17.102  1114  1581 I HwAudioServiceEx: check HiRes Icon false
06-28 18:41:17.172  1114  1790 W Watchdog: hungtask: writing kick
06-28 18:41:17.294  1114  1217 I PackageManager: writePermissionsSync -> user:0, put true:, Build.FINGERPRINT:HUAWEI/EML-AL00/HWEML:9/HUAWEIEML-AL00/187C00R1:user/release-keys, fingerprint:HUAWEI/EML-AL00/HWEML:9/HUAWEIEML-AL00/187C00R1:user/release-keys
06-28 18:41:17.380  1114  1273 I ActivityManager: Force stopping com.mixgo.PropertySEO appid=10404 user=0: pkg removed
06-28 18:41:17.478  1869  1869 I HwKeystoreServiceImpl: ACTION_PACKAGE_REMOVED userId:0 appId:10404 packageName:com.mixgo.PropertySEO removeAll:true
06-28 18:41:17.486  1920  2896 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1876 android.content.ContextWrapper.bindService:698 com.huawei.nb.searchmanager.service.RemoteIndexSearchManager.ensureIndexSearchServiceBound:342 com.huawei.nb.searchmanager.service.RemoteIndexSearchManager.buildIndex:287 com.huawei.nb.searchmanager.tasker.IndexTasker.doIndexTaskerAction:94 
06-28 18:41:17.501  1114  1558 I NetworkStats: ACTION_UID_REMOVED onReceive
06-28 18:41:17.502  1114  1558 I NetworkStats: performPollLocked, pid = 1114
06-28 18:41:17.527  1869  1869 I HwKeystoreServiceImpl: UserInfo uid:0
06-28 18:41:17.535  1114  1217 I [SPMN]  : insert SECURE -- name = accessibility_enabled, package = android, user = 0, value = 1
06-28 18:41:17.546  1114  1114 W Looper  : Slow dispatch took 105ms main h=android.app.ActivityThread$H c=android.app.-$$Lambda$LoadedApk$ReceiverDispatcher$Args$_BumDX2UKsnxLVrE6UJsJZkotuA@dca0356 m=0
06-28 18:41:17.560 31111  7357 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.bindService:1876 android.content.ContextWrapper.bindService:698 com.huawei.nb.client.RemoteServiceConnection.open:90 com.huawei.nb.client.DataServiceProxy.connect:129 com.huawei.nb.searchmanager.searchengine.service.RemoteIndexSearchService.getDataServiceProxy:121 
06-28 18:41:17.563  1869  1869 I PreDnsQuery: onReceive: intent = android.intent.action.PACKAGE_REMOVED
06-28 18:41:17.586  1114  6160 I HwNetworkPolicy: onTransact, code = 202
06-28 18:41:17.586  2017  2017 I HwNetworkPolicyManager: removeHwUidPolicy uid = 10404 policy = -1 opPackageName = com.huawei.systemmanager
06-28 18:41:17.588  1114  1558 W NetworkStatsFactory: mStatsXtProcUid: /proc/net/comm/stats does not exist!
06-28 18:41:17.589  1114  1558 D HwNetworkStatsService: hwRecordUidAndProcSnapshotLocked currentTime = 1561718477529
06-28 18:41:17.591 13352 13352 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1796 android.content.ContextWrapper.startService:664 android.content.ContextWrapper.startService:664 com.android.settings.applications.BlackListReceiver.onReceive:41 android.app.ActivityThread.handleReceiver:3856 
06-28 18:41:17.592  1114  1150 D SecurityProfileService: removeLabel:com.mixgo.PropertySEO
06-28 18:41:17.592  2017  2699 W ContextImpl: Calling a method in the system process without a qualified user: android.app.ContextImpl.startService:1796 android.content.ContextWrapper.startService:664 com.huawei.systemmanager.spacecleanner.receiver.SpaceCleanReceiver.checkRarelyUsedApp:100 com.huawei.systemmanager.spacecleanner.receiver.SpaceCleanReceiver.doInBackground:46 java.lang.reflect.Method.invoke:-2 
06-28 18:41:17.593  1114  1150 D SecurityProfileDB: writing: {
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:     "overlay_labels": {},
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:     "domains": {
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:         "com.huawei.smarthome": [
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:             {
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:                 "policy_version": 6,
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:                 "apk_digest": {
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:                     "digest_algorithm": "SHA-256",
06-28 18:41:17.593  1114  1150 D SecurityProfileDB:                     "digest": "8kAADpcRny0My5sa9TarBImvXnGs4epGshhmrbOt2Js=",
